"variable","n","n_missing","pct_missing","mean","median","sd","p25","p75","iqr","min","max","skewness","n_outliers","shapiro_W","shapiro_p"
"BMI",5625,54,1,28.72,27.6,6.75,24,32.04,8.04,15.02,81.25,1.333,172,0.92965,1.77495723955924e-43
"Age",5679,0,0,46.43,45,17.78,31,60,29,18,80,0.243,0,0.95892,2.03977185957783e-35
"Combined Systolic blood pressure",5452,227,4,120.95,119,17.37,109,130,21,78,226,1.095,148,0.94395,5.72276706245513e-40
"Combined Diastolic blood pressure",5452,227,4,69.71,70,12.72,63,77,14,0,116,-0.925,166,0.94834,9.54668020549549e-39
"Total HDL cholesterol",5359,320,5.6,5.01,4.94,1.06,4.27,5.64,1.37,1.53,13.65,0.686,86,0.97662,6.72951010427443e-28
